Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,FLEX Proj
RB,Samaje Perine (30190060),Samaje Perine,30190060,FLEX,5000,DEN@KC 10/12/2023 08:15PM ET,DEN,7.92,7.418
K,Harrison Butker (30190061),Harrison Butker,30190061,FLEX,4800,DEN@KC 10/12/2023 08:15PM ET,KC,9.2,9.3
TE,Greg Dulcich (30190027),Greg Dulcich,30190027,CPT,4800,DEN@KC 10/12/2023 08:15PM ET,DEN,4.2,1.158
WR,Marvin Mims Jr. (30190062),Marvin Mims Jr.,30190062,FLEX,4600,DEN@KC 10/12/2023 08:15PM ET,DEN,9.98,5.178
DST,Broncos  (30190010),Broncos ,30190010,CPT,4500,DEN@KC 10/12/2023 08:15PM ET,DEN,5.2,0
TE,Noah Gray (30190063),Noah Gray,30190063,FLEX,4400,DEN@KC 10/12/2023 08:15PM ET,KC,5.86,4.412
K,Wil Lutz (30190064),Wil Lutz,30190064,FLEX,4200,DEN@KC 10/12/2023 08:15PM ET,DEN,7.4,6.798
TE,Adam Trautman (30190011),Adam Trautman,30190011,CPT,4200,DEN@KC 10/12/2023 08:15PM ET,DEN,4.2,4.98
WR,Kadarius Toney (30190065),Kadarius Toney,30190065,FLEX,4000,DEN@KC 10/12/2023 08:15PM ET,KC,4.52,7.178
WR,Marquez Valdes-Scantling (30190066),Marquez Valdes-Scantling,30190066,FLEX,3400,DEN@KC 10/12/2023 08:15PM ET,KC,3.72,4.92
WR,Justin Watson (30190012),Justin Watson,30190012,CPT,3300,DEN@KC 10/12/2023 08:15PM ET,KC,6.18,4.92
TE,Greg Dulcich (30190084),Greg Dulcich,30190084,FLEX,3200,DEN@KC 10/12/2023 08:15PM ET,DEN,4.2,1.158
DST,Broncos  (30190067),Broncos ,30190067,FLEX,3000,DEN@KC 10/12/2023 08:15PM ET,DEN,5.2,0
TE,Adam Trautman (30190068),Adam Trautman,30190068,FLEX,2800,DEN@KC 10/12/2023 08:15PM ET,DEN,4.2,4.98
WR,Justin Watson (30190069),Justin Watson,30190069,FLEX,2200,DEN@KC 10/12/2023 08:15PM ET,KC,6.18,4.92
WR,Brandon Johnson (30190013),Brandon Johnson,30190013,CPT,1800,DEN@KC 10/12/2023 08:15PM ET,DEN,7.64,3.97
RB,Clyde Edwards-Helaire (30190014),Clyde Edwards-Helaire,30190014,CPT,1500,DEN@KC 10/12/2023 08:15PM ET,KC,4.6,3.942
WR,Brandon Johnson (30190070),Brandon Johnson,30190070,FLEX,1200,DEN@KC 10/12/2023 08:15PM ET,DEN,7.64,3.97
RB,Clyde Edwards-Helaire (30190071),Clyde Edwards-Helaire,30190071,FLEX,1000,DEN@KC 10/12/2023 08:15PM ET,KC,4.6,3.942
WR,Justyn Ross (30190015),Justyn Ross,30190015,CPT,900,DEN@KC 10/12/2023 08:15PM ET,KC,1.28,2.482
WR,Justyn Ross (30190072),Justyn Ross,30190072,FLEX,600,DEN@KC 10/12/2023 08:15PM ET,KC,1.28,2.482
RB,Deneric Prince (30190016),Deneric Prince,30190016,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
RB,La'Mical Perine (30190017),La'Mical Perine,30190017,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,James Winchester (30190018),James Winchester,30190018,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,Blake Bell (30190019),Blake Bell,30190019,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,1.84,0.558
WR,Tim Patrick (30190020),Tim Patrick,30190020,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
RB,Tyler Badie (30190021),Tyler Badie,30190021,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Montrell Washington (30190022),Montrell Washington,30190022,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Richie James Jr. (30190023),Richie James Jr.,30190023,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0.3,0
RB,Dwayne Washington (30190024),Dwayne Washington,30190024,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Nikko Remigio (30190025),Nikko Remigio,30190025,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
RB,Michael Burton (30190026),Michael Burton,30190026,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0.72,0.4
WR,Lil'Jordan Humphrey (30190028),Lil'Jordan Humphrey,30190028,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,2.52,1.254
WR,Cornell Powell (30190029),Cornell Powell,30190029,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Jalen Virgil (30190030),Jalen Virgil,30190030,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
TE,Mitchell Fraboni (30190031),Mitchell Fraboni,30190031,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
TE,Chris Manhertz (30190032),Chris Manhertz,30190032,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0.4,0.596
TE,Nate Adkins (30190033),Nate Adkins,30190033,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,1.22,0.744
TE,Matt Bushman (30190034),Matt Bushman,30190034,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,Gerrit Prince (30190035),Gerrit Prince,30190035,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Michael Bandy (30190036),Michael Bandy,30190036,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Chase Cota (30190037),Chase Cota,30190037,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
WR,Phillip Dorsett II (30190038),Phillip Dorsett II,30190038,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,David Sills V (30190039),David Sills V,30190039,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
WR,Daniel Arias (30190040),Daniel Arias,30190040,CPT,300,DEN@KC 10/12/2023 08:15PM ET,KC,0,0
TE,Lucas Krull (30190041),Lucas Krull,30190041,CPT,300,DEN@KC 10/12/2023 08:15PM ET,DEN,0,0
